symbol,price,market_cap,enterprise_value,pe,pb,ps,peg,dividend_yield
AAPL,265.38,3900535472128,3907937894400,33.54994,44.244747,,,0.39
AAPL,265.38,3900535472128,3907937894400,33.54994,44.244747,,,0.39
GOOGL,315.8801,3821201784832,3750466158592,29.248158,9.195124,,,0.27
AMZN,205.81,2209354088448,2311032143872,28.744413,5.3727875,,,
ORCL,142.11,408437063680,537923092480,26.712406,13.631655,,,1.35
IBM,251.65,235226120192,291113336832,22.589766,7.2184615,,,2.61
