year,projected_fcf,cagr,scenario
2025,120073954753.91447,0.10354990721106616,optimistic
2026,132507601627.14807,0.10354990721106616,optimistic
2027,146228751480.40018,0.10354990721106616,optimistic
2028,161370725127.78568,0.10354990721106616,optimistic
2029,178080648741.35034,0.10354990721106616,optimistic
2025,120073954753.91447,0.10354990721106616,pessimistic
2026,132507601627.14807,0.10354990721106616,pessimistic
2027,146228751480.40018,0.10354990721106616,pessimistic
2028,161370725127.78568,0.10354990721106616,pessimistic
2029,178080648741.35034,0.10354990721106616,pessimistic
