scenario,discount_rate,g,pv_fcf,pv_terminal,enterprise_value,pe,market_cap,stock_price,implied_equity_value,implied_price
optimistic,0.079,0.035,582315339536.6842,2864159365465.393,3446474705002.077,,3900535472128,265.38,3357358705002.077,228.68515013153456
pessimistic,0.098,0.02,552340381618.8113,1459185809829.9456,2011526191448.7568,,3900535472128,265.38,1922410191448.7568,130.94420402289992
